"Section","Module","No","Title","Target","Mins","Beats","MinPerBeat","Preview","Beat sheet","Scripted","Code ready","Recorded","Edited","Published"
"Beginner","Module 1 · Getting Started","1","Welcome and Course Introduction","8m","8","4","2.0","FREE","What you'll learn | How the course is structured | The three portfolio projects | How to practise effectively","","","","",""
"Beginner","Module 1 · Getting Started","2","How Websites Work","10m","10","4","2.5","FREE","What is a website? | Browser, server and webpage | Requests and responses | How browsers turn code into pixels","","","","",""
"Beginner","Module 1 · Getting Started","3","HTML, CSS and JavaScript: Who Does What","8m","8","3","2.7","FREE","Structure, style and behaviour | What each language owns | Where this course fits","","","","",""
"Beginner","Module 1 · Getting Started","4","VS Code, Live Server and Your Project Folder","14m","14","5","2.8","FREE","Installing VS Code | Useful extensions | Installing Live Server | Folder structure | File naming conventions","","","","",""
"Beginner","Module 2 · HTML Fundamentals","5","Creating Your First HTML Page","12m","12","5","2.4","FREE","DOCTYPE | The html element | head and body | Page title | Meta tags","","","","",""
"Beginner","Module 2 · HTML Fundamentals","6","Elements, Tags and Attributes","10m","10","4","2.5","","Opening and closing tags | Attributes and values | Quoting | Case and spelling","","","","",""
"Beginner","Module 2 · HTML Fundamentals","7","Nesting and Void Elements","8m","8","4","2.0","","Parent and child elements | Correct nesting order | Void elements | Common nesting mistakes","","","","",""
"Beginner","Module 2 · HTML Fundamentals","8","Headings, Paragraphs and Text Formatting","10m","10","5","2.0","","Heading levels | Paragraphs | strong and em | Line breaks | Horizontal rules","","","","",""
"Beginner","Module 2 · HTML Fundamentals","9","Comments and Readable Code","10m","10","4","2.5","","Adding comments | Indentation | Consistent formatting | Formatting mistakes to avoid","","","","",""
"Beginner","Module 3 · Links, Lists and Media","10","Creating Links","11m","11","5","2.2","","The anchor element | href | External links | Opening in a new tab | The rel attribute","","","","",""
"Beginner","Module 3 · Links, Lists and Media","11","Internal Paths, Email and Phone Links","11m","11","5","2.2","","Relative paths | Absolute paths | mailto links | tel links | Linking to a section","","","","",""
"Beginner","Module 3 · Links, Lists and Media","12","Ordered, Unordered and Nested Lists","12m","12","5","2.4","","Unordered lists | Ordered lists | List items | Nesting lists | Description lists","","","","",""
"Beginner","Module 3 · Links, Lists and Media","13","Images, Alt Text and Dimensions","10m","10","5","2.0","","The img element | src and image paths | Alternative text | width and height | Preventing layout shift","","","","",""
"Beginner","Module 3 · Links, Lists and Media","14","Audio, Video and Embedded Content","8m","8","5","1.6","","The audio element | The video element | Controls | Iframes | Embedding YouTube","","","","",""
"Beginner","Module 4 · Semantic HTML and Tables","15","Semantic Landmarks","11m","11","5","2.2","","header | nav | main | footer | Why landmarks matter","","","","",""
